Book-Title,Book-Author,Image-URL-M,Total_Votes,Average_Rating
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,428,5.85
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,387,5.82
Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,278,5.74
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,347,5.5
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,556,5.18
The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,281,5.01
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,368,4.95
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,575,4.9
"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,260,4.88
To Kill a Mockingbird,Harper Lee,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,510,4.7
The Da Vinci Code,Dan Brown,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,898,4.64
The Five People You Meet in Heaven,Mitch Albom,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,430,4.55
The Catcher in the Rye,J.D. Salinger,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,449,4.55
The Lovely Bones: A Novel,Alice Sebold,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,1295,4.47
1984,George Orwell,http://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,284,4.45
Prodigal Summer: A Novel,Barbara Kingsolver,http://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg,253,4.45
Neverwhere,Neil Gaiman,http://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,265,4.45
The Secret Life of Bees,Sue Monk Kidd,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,774,4.45
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,http://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg,283,4.36
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg,493,4.35
The Red Tent (Bestselling Backlist),Anita Diamant,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,723,4.33
The Hitchhiker's Guide to the Galaxy,Douglas Adams,"https://m.media-amazon.com/images/I/814PgH8CDXL._AC_UF1000,1000_QL80_.jpg",268,4.33
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,335,4.29
Into the Wild,Jon Krakauer,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,252,4.27
Fahrenheit 451,Ray Bradbury,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg,409,4.26
Girl with a Pearl Earring,Tracy Chevalier,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,526,4.22
Outlander,DIANA GABALDON,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964.jpg,283,4.17
Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,http://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg,585,4.11
Seabiscuit: An American Legend,LAURA HILLENBRAND,http://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,275,4.1
Life of Pi,Yann Martel,http://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,664,4.09
The Bean Trees,Barbara Kingsolver,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,389,4.09
"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,265,4.09
ANGELA'S ASHES,Frank McCourt,http://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg,279,4.08
Good in Bed,Jennifer Weiner,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,490,4.06
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,http://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg,321,4.04
American Gods,Neil Gaiman,http://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,302,4.01
Skipping Christmas,JOHN GRISHAM,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,322,4.01
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,http://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,318,4
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg,336,4
The Color Purple,Alice Walker,"https://m.media-amazon.com/images/I/71f6DRbcrsL._AC_UF1000,1000_QL80_.jpg",314,3.96
Silence of the Lambs,Thomas Harris,http://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg,256,3.96
About a Boy,Nick Hornby,http://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg,262,3.9
Seven Up (A Stephanie Plum Novel),Janet Evanovich,http://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg,278,3.89
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,http://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg,266,3.88
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,http://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg,269,3.83
Suzanne's Diary for Nicholas,James Patterson,http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg,457,3.82
Lord of the Flies,William Gerald Golding,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,259,3.82
A Prayer for Owen Meany,John Irving,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,413,3.8
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,http://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg,301,3.78
White Oleander : A Novel (Oprah's Book Club),Janet Fitch,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg,356,3.77
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg,326,3.77
Me Talk Pretty One Day,David Sedaris,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,457,3.75
Timeline,MICHAEL CRICHTON,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,552,3.75
Misery,Stephen King,"https://m.media-amazon.com/images/I/81MBotti0gL._AC_UF1000,1000_QL80_.jpg",291,3.72
Angels &amp; Demons,Dan Brown,http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg,670,3.71
Bel Canto: A Novel,Ann Patchett,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg,350,3.7
Watership Down,Richard George Adams,"https://m.media-amazon.com/images/I/81rvh0Dna0L._AC_UF1000,1000_QL80_.jpg",312,3.7
The Green Mile,Stephen King,http://images.amazon.com/images/P/0671032658.01.MZZZZZZZ.jpg,264,3.68
Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,http://images.amazon.com/images/P/0385722206.01.MZZZZZZZ.jpg,284,3.68
One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,"https://m.media-amazon.com/images/I/71KdopnJQHL._AC_UF1000,1000_QL80_.jpg",291,3.66
Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,http://images.amazon.com/images/P/0385335482.01.MZZZZZZZ.jpg,350,3.63
Empire Falls,Richard Russo,http://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg,392,3.63
Lucky : A Memoir,Alice Sebold,http://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg,301,3.62
The Poisonwood Bible: A Novel,Barbara Kingsolver,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,494,3.61
Red Dragon,Thomas Harris,http://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg,402,3.61
The Pilot's Wife : A Novel,Anita Shreve,http://images.amazon.com/images/P/0316601950.01.MZZZZZZZ.jpg,568,3.59
Insomnia,Stephen King,"https://m.media-amazon.com/images/I/71iiP3hCMFL._AC_UF1000,1000_QL80_.jpg",260,3.58
Digital Fortress : A Thriller,Dan Brown,http://images.amazon.com/images/P/0312995423.01.MZZZZZZZ.jpg,293,3.58
1st to Die: A Novel,James Patterson,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg,509,3.58
She's Come Undone (Oprah's Book Club),Wally Lamb,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,468,3.57
The Notebook,Nicholas Sparks,http://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg,650,3.56
Interview with the Vampire,Anne Rice,http://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg,508,3.55
The Nanny Diaries: A Novel,Emma McLaughlin,http://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg,828,3.53
Bridget Jones's Diary,Helen Fielding,http://images.amazon.com/images/P/0330332775.01.MZZZZZZZ.jpg,815,3.53
White Oleander : A Novel,Janet Fitch,http://images.amazon.com/images/P/0316182540.01.MZZZZZZZ.jpg,387,3.51
The Poisonwood Bible,Barbara Kingsolver,http://images.amazon.com/images/P/0060175400.01.MZZZZZZZ.jpg,267,3.5
She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg,446,3.5
Two for the Dough,Janet Evanovich,http://images.amazon.com/images/P/0671001795.01.MZZZZZZZ.jpg,267,3.46
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,http://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg,740,3.44
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,http://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg,313,3.43
The Summons,John Grisham,http://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg,655,3.43
The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,http://images.amazon.com/images/P/0060502258.01.MZZZZZZZ.jpg,376,3.43
Jurassic Park,Michael Crichton,http://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg,488,3.43
A Heartbreaking Work of Staggering Genius,Dave Eggers,http://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg,302,3.42
"Girl, Interrupted",SUSANNA KAYSEN,http://images.amazon.com/images/P/0679746048.01.MZZZZZZZ.jpg,262,3.42
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,http://images.amazon.com/images/P/1400034779.01.MZZZZZZZ.jpg,431,3.42
Chocolat,Joanne Harris,http://images.amazon.com/images/P/0552998486.01.MZZZZZZZ.jpg,344,3.41
A Walk to Remember,Nicholas Sparks,http://images.amazon.com/images/P/0446608955.01.MZZZZZZZ.jpg,378,3.4
The Handmaid's Tale,Margaret Atwood,http://images.amazon.com/images/P/0449212602.01.MZZZZZZZ.jpg,311,3.4
The Bonesetter's Daughter,Amy Tan,http://images.amazon.com/images/P/0399146431.01.MZZZZZZZ.jpg,384,3.39
One Door Away from Heaven,Dean R. Koontz,http://images.amazon.com/images/P/0553582755.01.MZZZZZZZ.jpg,298,3.39
Fall On Your Knees (Oprah #45),Ann-Marie MacDonald,http://images.amazon.com/images/P/0743237188.01.MZZZZZZZ.jpg,284,3.39
A Bend in the Road,Nicholas Sparks,http://images.amazon.com/images/P/0446527785.01.MZZZZZZZ.jpg,346,3.36
Summer Sisters,Judy Blume,http://images.amazon.com/images/P/0385324057.01.MZZZZZZZ.jpg,573,3.36
Cold Mountain : A Novel,CHARLES FRAZIER,http://images.amazon.com/images/P/0375700757.01.MZZZZZZZ.jpg,311,3.35
The Beach House,James Patterson,http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg,435,3.35
The Hours: A Novel,Michael Cunningham,http://images.amazon.com/images/P/0312305060.01.MZZZZZZZ.jpg,294,3.35
Icy Sparks,Gwyn Hyman Rubio,http://images.amazon.com/images/P/0142000205.01.MZZZZZZZ.jpg,309,3.35
Angela's Ashes (MMP) : A Memoir,Frank McCourt,http://images.amazon.com/images/P/0684872153.01.MZZZZZZZ.jpg,326,3.34
How to Be Good,Nick Hornby,http://images.amazon.com/images/P/1573229326.01.MZZZZZZZ.jpg,304,3.31
Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,http://images.amazon.com/images/P/0385494785.01.MZZZZZZZ.jpg,372,3.3
The Partner,John Grisham,http://images.amazon.com/images/P/0385472951.01.MZZZZZZZ.jpg,478,3.29
The God of Small Things,Arundhati Roy,http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg,289,3.29
The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,http://images.amazon.com/images/P/0345384466.01.MZZZZZZZ.jpg,274,3.28
Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,http://images.amazon.com/images/P/0515131229.01.MZZZZZZZ.jpg,258,3.27
2nd Chance,James Patterson,http://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg,356,3.27
Little Altars Everywhere: A Novel,Rebecca Wells,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg,434,3.26
SHIPPING NEWS,Annie Proulx,http://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg,382,3.25
Snow Falling on Cedars,David Guterson,http://images.amazon.com/images/P/0151001006.01.MZZZZZZZ.jpg,662,3.25
The Rescue,Nicholas Sparks,http://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg,308,3.24
A Painted House,John Grisham,http://images.amazon.com/images/P/044023722X.01.MZZZZZZZ.jpg,838,3.23
Unnatural Exposure,Cornwell Patricia,http://images.amazon.com/images/P/0316639842.01.MZZZZZZZ.jpg,258,3.22
Dreamcatcher,Stephen King,http://images.amazon.com/images/P/0743211383.01.MZZZZZZZ.jpg,481,3.21
Dolores Claiborne,Stephen King,http://images.amazon.com/images/P/0451177096.01.MZZZZZZZ.jpg,275,3.19
Point of Origin,Patricia Daniels Cornwell,http://images.amazon.com/images/P/0425169863.01.MZZZZZZZ.jpg,277,3.18
The Testament,John Grisham,http://images.amazon.com/images/P/0440234743.01.MZZZZZZZ.jpg,617,3.18
I Know This Much Is True,Wally Lamb,http://images.amazon.com/images/P/0060987561.01.MZZZZZZZ.jpg,276,3.17
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg,265,3.15
The Girls' Guide to Hunting and Fishing,Melissa Bank,http://images.amazon.com/images/P/0140293248.01.MZZZZZZZ.jpg,573,3.14
Cradle and All,James Patterson,http://images.amazon.com/images/P/0316690619.01.MZZZZZZZ.jpg,265,3.14
A Time to Kill,JOHN GRISHAM,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg,549,3.12
The Last Time They Met : A Novel,Anita Shreve,http://images.amazon.com/images/P/0316781266.01.MZZZZZZZ.jpg,312,3.12
Along Came a Spider (Alex Cross Novels),James Patterson,http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg,304,3.12
Midwives: A Novel,Chris Bohjalian,http://images.amazon.com/images/P/0375706771.01.MZZZZZZZ.jpg,380,3.11
The Bridges of Madison County,Robert James Waller,http://images.amazon.com/images/P/044651652X.01.MZZZZZZZ.jpg,443,3.09
The Client,John Grisham,http://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg,483,3.08
The Firm,John Grisham,http://images.amazon.com/images/P/0385416342.01.MZZZZZZZ.jpg,569,3.08
The Smoke Jumper,Nicholas Evans,http://images.amazon.com/images/P/0385334036.01.MZZZZZZZ.jpg,262,3.06
The Joy Luck Club,Amy Tan,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,555,3.06
Full House (Janet Evanovich's Full Series),Janet Evanovich,http://images.amazon.com/images/P/0312983271.01.MZZZZZZZ.jpg,257,3.04
Pop Goes the Weasel,James Patterson,http://images.amazon.com/images/P/0316693286.01.MZZZZZZZ.jpg,273,3.04
The King of Torts,John Grisham,http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg,458,3.04
Tara Road,Maeve Binchy,http://images.amazon.com/images/P/0440235596.01.MZZZZZZZ.jpg,304,3.04
House of Sand and Fog,Andre Dubus III,http://images.amazon.com/images/P/0375727345.01.MZZZZZZZ.jpg,588,3.03
The Chamber,John Grisham,http://images.amazon.com/images/P/0385424728.01.MZZZZZZZ.jpg,509,3.02
The Reader,Bernhard Schlink,http://images.amazon.com/images/P/0679442790.01.MZZZZZZZ.jpg,466,3.01
The Blind Assassin,Margaret Atwood,http://images.amazon.com/images/P/0385475721.01.MZZZZZZZ.jpg,255,3.01
STONES FROM THE RIVER,Ursula Hegi,http://images.amazon.com/images/P/0684844729.01.MZZZZZZZ.jpg,364,3
The Kitchen God's Wife,Amy Tan,https://m.media-amazon.com/images/I/51ITCX4iicL.jpg,311,3
"""O"" Is for Outlaw",SUE GRAFTON,http://images.amazon.com/images/P/0449003787.01.MZZZZZZZ.jpg,269,2.99
The Hot Zone,Richard Preston,http://images.amazon.com/images/P/0385479565.01.MZZZZZZZ.jpg,260,2.97
The Cider House Rules,John Irving,"https://m.media-amazon.com/images/I/81XFgFH0QbL._AC_UF1000,1000_QL80_.jpg",393,2.97
The Alienist,Caleb Carr,http://images.amazon.com/images/P/0553572997.01.MZZZZZZZ.jpg,350,2.97
Violets Are Blue,James Patterson,http://images.amazon.com/images/P/0446611212.01.MZZZZZZZ.jpg,379,2.96
Deception Point,Dan Brown,http://images.amazon.com/images/P/0671027387.01.MZZZZZZZ.jpg,262,2.93
The Rainmaker,JOHN GRISHAM,http://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg,501,2.92
Mystic River,Dennis Lehane,http://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg,362,2.91
Airframe,Michael Crichton,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,332,2.9
The Runaway Jury,JOHN GRISHAM,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,520,2.88
All I Really Need to Know,ROBERT FULGHUM,http://images.amazon.com/images/P/080410526X.01.MZZZZZZZ.jpg,258,2.88
The Last Precinct,Patricia Cornwell,http://images.amazon.com/images/P/0425180638.01.MZZZZZZZ.jpg,337,2.88
We Were the Mulvaneys,Joyce Carol Oates,http://images.amazon.com/images/P/0452282829.01.MZZZZZZZ.jpg,342,2.87
The Lost World,Michael Crichton,"https://m.media-amazon.com/images/I/71kbIS4TwgL._AC_UF1000,1000_QL80_.jpg",256,2.86
The Street Lawyer,JOHN GRISHAM,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg,545,2.85
The Brethren,JOHN GRISHAM,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg,556,2.85
The Hundred Secret Senses,Amy Tan,http://images.amazon.com/images/P/0399141146.01.MZZZZZZZ.jpg,336,2.83
Kiss the Girls,James Patterson,http://images.amazon.com/images/P/0446601241.01.MZZZZZZZ.jpg,256,2.83
Black and Blue,ANNA QUINDLEN,http://images.amazon.com/images/P/0440226104.01.MZZZZZZZ.jpg,263,2.79
A Widow for One Year,JOHN IRVING,http://images.amazon.com/images/P/0345424719.01.MZZZZZZZ.jpg,273,2.78
Black Notice,Patricia Daniels Cornwell,http://images.amazon.com/images/P/0399145087.01.MZZZZZZZ.jpg,360,2.78
Message in a Bottle,Nicholas Sparks,http://images.amazon.com/images/P/0446523569.01.MZZZZZZZ.jpg,496,2.78
Flesh and Blood,Jonathan Kellerman,http://images.amazon.com/images/P/0679459626.01.MZZZZZZZ.jpg,254,2.78
Hannibal,Thomas Harris,http://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg,468,2.76
Sphere,MICHAEL CRICHTON,http://images.amazon.com/images/P/0345353145.01.MZZZZZZZ.jpg,374,2.74
A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,http://images.amazon.com/images/P/0553279912.01.MZZZZZZZ.jpg,285,2.73
When the Wind Blows,James Patterson,http://images.amazon.com/images/P/0316693324.01.MZZZZZZZ.jpg,396,2.72
The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice,http://images.amazon.com/images/P/0345351525.01.MZZZZZZZ.jpg,274,2.71
The Horse Whisperer,Nicholas Evans,http://images.amazon.com/images/P/0440222656.01.MZZZZZZZ.jpg,507,2.69
Back Roads,Tawni O'Dell,http://images.amazon.com/images/P/0451202341.01.MZZZZZZZ.jpg,276,2.68
The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,http://images.amazon.com/images/P/0385265700.01.MZZZZZZZ.jpg,319,2.67
Scarlet Feather,Maeve Binchy,http://images.amazon.com/images/P/0525945938.01.MZZZZZZZ.jpg,256,2.63
Lightning,Dean R. Koontz,http://images.amazon.com/images/P/0425115801.01.MZZZZZZZ.jpg,274,2.63
Cause of Death,Patricia Daniels Cornwell,http://images.amazon.com/images/P/0425158616.01.MZZZZZZZ.jpg,287,2.62
The Pelican Brief,John Grisham,http://images.amazon.com/images/P/0440214041.01.MZZZZZZZ.jpg,581,2.61
While I Was Gone,Sue Miller,http://images.amazon.com/images/P/0345443284.01.MZZZZZZZ.jpg,431,2.58
The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,http://images.amazon.com/images/P/0060977477.01.MZZZZZZZ.jpg,404,2.54
A Map of the World,Jane Hamilton,http://images.amazon.com/images/P/0385500769.01.MZZZZZZZ.jpg,327,2.49
Rising Sun,MICHAEL CRICHTON,http://images.amazon.com/images/P/0345380371.01.MZZZZZZZ.jpg,278,2.44
Congo,Michael Crichton,http://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg,299,2.43
The Prince of Tides,Pat Conroy,http://images.amazon.com/images/P/0553268880.01.MZZZZZZZ.jpg,291,2.35
Disclosure,Michael Crichton,http://images.amazon.com/images/P/0345391055.01.MZZZZZZZ.jpg,318,2.35
Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,http://images.amazon.com/images/P/0380730138.01.MZZZZZZZ.jpg,265,2.25
Whispers,BELVA PLAIN,http://images.amazon.com/images/P/0440216745.01.MZZZZZZZ.jpg,286,2.2
Presumed Innocent,Scott Turow,http://images.amazon.com/images/P/0446359866.01.MZZZZZZZ.jpg,294,2.14
Isle of Dogs,Patricia Cornwell,http://images.amazon.com/images/P/0425182908.01.MZZZZZZZ.jpg,288,2
Wild Animus,Rich Shapero,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,2502,1.02
