,Book-Title,Book-Author,Image-URL-M,Votes,Avg-rating
0,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,https://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,428,5.85
3,Harry Potter and the Goblet of Fire,J. K. Rowling,https://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,387,5.82
5,Harry Potter and the Sorcerer's Stone,J. K. Rowling,https://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,278,5.74
9,Harry Potter and the Order of the Phoenix,J. K. Rowling,https://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,347,5.5
13,Harry Potter and the Chamber of Secrets,J. K. Rowling,https://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,556,5.18
16,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,https://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,281,5.01
17,The Fellowship of the Ring,J.R.R. TOLKIEN,https://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,368,4.95
26,Harry Potter and the Sorcerer's Stone,J. K. Rowling,https://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,575,4.9
28,The Two Towers,J.R.R. TOLKIEN,https://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,260,4.88
39,To Kill a Mockingbird,Harper Lee,https://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,510,4.7
47,The Da Vinci Code,Dan Brown,https://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,898,4.64
53,The Five People You Meet in Heaven,Mitch Albom,https://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,430,4.55
55,The Catcher in the Rye,J.D. Salinger,https://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,449,4.55
62,The Lovely Bones: A Novel,Alice Sebold,https://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,1295,4.47
63,1984,George Orwell,https://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg,284,4.45
72,Prodigal Summer: A Novel,Barbara Kingsolver,https://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg,253,4.45
73,Neverwhere,Neil Gaiman,https://images.amazon.com/images/P/0380789019.01.MZZZZZZZ.jpg,265,4.45
78,The Secret Life of Bees,Sue Monk Kidd,https://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,774,4.45
84,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,https://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg,283,4.36
85,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,https://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg,493,4.35
88,The Red Tent,Anita Diamant,https://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,723,4.33
89,The Hitchhiker's Guide to the Galaxy,Douglas Adams,https://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg,268,4.33
98,Nickel and Dimed: On Getting By in America,Barbara Ehrenreich,https://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg,335,4.29
100,Into the Wild,Jon Krakauer,https://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg,252,4.27
103,Fahrenheit 451,Ray Bradbury,https://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg,409,4.26
116,Girl with a Pearl Earring,Tracy Chevalier,https://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg,526,4.22
117,Outlander,DIANA GABALDON,https://images.amazon.com/images/P/0440222915.01.MZZZZZZZ.jpg,283,4.17
123,Where the Heart Is,Billie Letts,https://images.amazon.com/images/P/0446672211.01.MZZZZZZZ.jpg,585,4.11
124,Seabiscuit: An American Legend,LAURA HILLENBRAND,https://images.amazon.com/images/P/0449005615.01.MZZZZZZZ.jpg,275,4.1
126,Life of Pi,Yann Martel,https://images.amazon.com/images/P/0151008116.01.MZZZZZZZ.jpg,664,4.09
130,The Bean Trees,Barbara Kingsolver,https://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg,389,4.09
133,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,https://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,265,4.09
135,ANGELA'S ASHES,Frank McCourt,https://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg,279,4.08
137,Good in Bed,Jennifer Weiner,https://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg,490,4.06
139,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,https://images.amazon.com/images/P/0060938455.01.MZZZZZZZ.jpg,321,4.04
140,American Gods,Neil Gaiman,https://images.amazon.com/images/P/0380789035.01.MZZZZZZZ.jpg,302,4.01
141,Skipping Christmas,JOHN GRISHAM,https://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg,322,4.01
147,Left Behind: A Novel of the Earth's Last Days,Tim Lahaye,https://images.amazon.com/images/P/0842329129.01.MZZZZZZZ.jpg,318,4.0
149,The Golden Compass,PHILIP PULLMAN,https://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg,336,4.0
157,The Color Purple,Alice Walker,https://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg,314,3.96
163,Silence of the Lambs,Thomas Harris,https://images.amazon.com/images/P/0312924585.01.MZZZZZZZ.jpg,256,3.96
166,About a Boy,Nick Hornby,https://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg,262,3.9
173,Seven Up,Janet Evanovich,https://images.amazon.com/images/P/0312265840.01.MZZZZZZZ.jpg,278,3.89
175,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,https://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg,266,3.88
177,Hard Eight : A Stephanie Plum Novel,Janet Evanovich,https://images.amazon.com/images/P/0312983867.01.MZZZZZZZ.jpg,269,3.83
182,Suzanne's Diary for Nicholas,James Patterson,https://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg,457,3.82
186,Lord of the Flies,William Gerald Golding,https://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,259,3.82
192,A Prayer for Owen Meany,John Irving,https://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg,413,3.8
194,The Vampire Lestat,ANNE RICE,https://images.amazon.com/images/P/0345313860.01.MZZZZZZZ.jpg,301,3.78
195,White Oleander : A Novel,Janet Fitch,https://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg,356,3.77
